input_profile,region_name,recommended_crop_id,recommended_crop,hybrid_score,model_probability,environment_score,market_score,regional_prior_score,soil_ph_mean_score,temp_mean_score,rainfall_total_2023_24_score,soil_n_mean_score,soil_p_mean_score,soil_k_mean_score,soil_bdod_0_5cm_mean_score,rank
default_Iringa,Iringa,11,Maize,0.561293866096255,0.504607590559926,0.8778098494905321,0.0,0.6430722891566265,1.0,1.0,0.38904924745266045,1.0,1.0,1.0,1.0,1
default_Iringa,Iringa,31,Beans,0.5425756715175042,0.4584109200850263,0.8467384209191035,0.5,0.2876506024096386,0.8446428571428575,1.0,0.38904924745266045,1.0,1.0,1.0,1.0,2
default_Iringa,Iringa,71,Banana,0.318828468860299,0.026566547982580797,1.0,0.5,0.04216867469879518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
default_Kagera,Kagera,71,Banana,0.5173356136828245,0.33424721829456716,1.0,0.5,0.33499643620812547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
default_Kagera,Kagera,11,Maize,0.4734968448332575,0.23851422554992335,0.9407679229443983,0.8495525458497085,0.22166785459729152,0.9085714285714293,1.0,0.7952681861505623,1.0,1.0,1.0,1.0,2
default_Kagera,Kagera,54,Coffee,0.40648933515645314,0.1521473948350985,1.0,0.5,0.22808267997148968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
default_Kilimanjaro,Kilimanjaro,71,Banana,0.5651790533638541,0.4400835600384501,0.9143249999999998,0.5,0.44551845342706503,0.6499999999999995,1.0,1.0,1.0,1.0,0.8040625,1.0,1
default_Kilimanjaro,Kilimanjaro,11,Maize,0.40314647728079167,0.2125677643195416,0.846077169448845,0.48089255491865956,0.2662565905096661,0.8499999999999995,1.0,0.9916858472442255,1.0,0.4161666666666667,0.3475,1.0,2
default_Kilimanjaro,Kilimanjaro,31,Beans,0.35239051123776965,0.19792585907165444,0.8760771694488451,0.09046267036412031,0.1546572934973638,1.0,1.0,0.9916858472442255,1.0,0.4161666666666667,0.3475,1.0,3
default_Mbeya,Mbeya,11,Maize,0.8520853895625929,0.8175024966711824,1.0,1.0,0.5245901639344263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
default_Mbeya,Mbeya,31,Beans,0.4109922390275778,0.09110362386534272,0.996,1.0,0.11885245901639344,0.9800000000000004,1.0,1.0,1.0,1.0,1.0,1.0,2
default_Mbeya,Mbeya,12,Paddy,0.3923974110108695,0.05926679796313088,0.960924,1.0,0.19569672131147542,1.0,1.0,1.0,0.6743666666666666,1.0,1.0,1.0,3
